pdf_id,title,committee_name,conf_date,url
421회-1차-농림축산식품법안심사소위원회-2025-01-23,제22대국회 제421회 1차 농림축산식품법안심사소위원회,농림축산식품법안심사소위원회,2025-01-23,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054711&fileId=0000124539&deviceGubun=P&imsiYn=P
420회-2차-국토교통위원회-2025-01-14,제22대국회 제420회 2차 국토교통위원회,국토교통위원회,2025-01-14,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054692&fileId=0000124166&deviceGubun=P&imsiYn=P
420회-4차-농림축산식품해양수산위원회-2025-01-14,제22대국회 제420회 4차 농림축산식품해양수산위원회,농림축산식품해양수산위원회,2025-01-14,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054690&fileId=0000124133&deviceGubun=P&imsiYn=P
420회-1차-보건복지위원회-2025-01-14,제22대국회 제420회 1차 보건복지위원회,보건복지위원회,2025-01-14,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054691&fileId=0000124164&deviceGubun=P&imsiYn=P
418회-7차-환경노동위원회-2024-11-12,제22대국회 제418회 7차 환경노동위원회,환경노동위원회,2024-11-12,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054343&fileId=0000122757&deviceGubun=P&imsiYn=P
418회-10차-예산결산특별위원회-2024-11-12,제22대국회 제418회 10차 예산결산특별위원회,예산결산특별위원회,2024-11-12,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054305&fileId=0000122641&deviceGubun=P&imsiYn=P
418회-8차-산업통상자원중소벤처기업위원회-2024-11-12,제22대국회 제418회 8차 산업통상자원중소벤처기업위원회,산업통상자원중소벤처기업위원회,2024-11-12,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054319&fileId=0000122679&deviceGubun=P&imsiYn=P
418회-7차-농림축산식품해양수산위원회-2024-11-12,제22대국회 제418회 7차 농림축산식품해양수산위원회,농림축산식품해양수산위원회,2024-11-12,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054309&fileId=0000122649&deviceGubun=P&imsiYn=P
418회-2차-예산결산기금심사소위원회-2024-11-12,제22대국회 제418회 2차 예산결산기금심사소위원회,예산결산기금심사소위원회,2024-11-12,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054324&fileId=0000122689&deviceGubun=P&imsiYn=P
418회-2차-예산·결산·기금심사소위원회-2024-11-12,제22대국회 제418회 2차 예산·결산·기금심사소위원회,예산·결산·기금심사소위원회,2024-11-12,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054337&fileId=0000122705&deviceGubun=P&imsiYn=P
418회-7차-정무위원회-2024-11-12,제22대국회 제418회 7차 정무위원회,정무위원회,2024-11-12,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054327&fileId=0000122695&deviceGubun=P&imsiYn=P
418회-3차-예산결산기금심사소위원회-2024-11-12,제22대국회 제418회 3차 예산결산기금심사소위원회,예산결산기금심사소위원회,2024-11-12,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054320&fileId=0000122681&deviceGubun=P&imsiYn=P
418회-15차-법제사법위원회-2024-11-04,제22대국회 제418회 15차 법제사법위원회,법제사법위원회,2024-11-04,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054268&fileId=0000122565&deviceGubun=P&imsiYn=P
418회-5차-국회운영위원회-2024-10-31,제22대국회 제418회 5차 국회운영위원회,국회운영위원회,2024-10-31,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054248&fileId=0000122527&deviceGubun=P&imsiYn=P
418회-2차-법제사법위원회-2024-09-04,제22대국회 제418회 2차 법제사법위원회,법제사법위원회,2024-09-04,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054065&fileId=0000121226&deviceGubun=P&imsiYn=P
418회-1차-여성가족위원회-2024-09-04,제22대국회 제418회 1차 여성가족위원회,여성가족위원회,2024-09-04,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054072&fileId=0000121242&deviceGubun=P&imsiYn=P
418회-1차-예산결산심사소위원회-2024-09-04,제22대국회 제418회 1차 예산결산심사소위원회,예산결산심사소위원회,2024-09-04,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054062&fileId=0000121220&deviceGubun=P&imsiYn=P
418회-1차-농림축산식품해양수산위원회-2024-09-04,제22대국회 제418회 1차 농림축산식품해양수산위원회,농림축산식품해양수산위원회,2024-09-04,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054068&fileId=0000121233&deviceGubun=P&imsiYn=P
418회-1차-과학기술원자력법안심사소위원회-2024-09-04,제22대국회 제418회 1차 과학기술원자력법안심사소위원회,과학기술원자력법안심사소위원회,2024-09-04,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054046&fileId=0000121163&deviceGubun=P&imsiYn=P
418회-1차-법안심사제1소위원회-2024-09-04,제22대국회 제418회 1차 법안심사제1소위원회,법안심사제1소위원회,2024-09-04,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054064&fileId=0000121224&deviceGubun=P&imsiYn=P
418회-3차-예산결산특별위원회-2024-09-04,제22대국회 제418회 3차 예산결산특별위원회,예산결산특별위원회,2024-09-04,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054060&fileId=0000121216&deviceGubun=P&imsiYn=P
